ลำดับ,id,หน่วยงาน,หมายเลข อจย.,อัตราเต็ม(รวม),อัตราเต็ม(น.),อัตราเต็ม(ส.),อัตราเต็ม(อื่นๆ),อัตราบรรจุ(รวม),อัตราบรรจุ(น.),อัตราบรรจุ(ส.),อัตราบรรจุ(ประจำ),อัตราบรรจุ(อื่นๆ),ต่ำกว่า 21 ปี	,21-30,	31-40,	41-50,	51-60,	60 ปีขึ้นไป,เหล่า ร.,เหล่า ม.,เหล่า ป.,เหล่า ป., เหล่า ช. ,เหล่า ส., เหล่า ขส., แก้ไข 
"1","141222145420249316","ท.บ.","กองพันบริการ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"2","140825113344241115","ท.บ.","0100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"3","20001","ท.บ.","0100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"4","2806","ท.บ.","0100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"5","2805","ท.บ.","0100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"6","2872","ท.บ.","0110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"7","2871","ท.บ.","0110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"8","20621","ท.บ.","0110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"9","2921","ท.บ.","0120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"10","140818090716483464","ท.บ.","0120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"11","141129141654097156","ท.บ.","10-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"12","21733","ท.บ.","10-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"13","21734","ท.บ.","10-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"14","1002","ท.บ.","10-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"15","140902104110209187","ท.บ.","10-18 32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"16","1003","ท.บ.","10-227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"17","21735","ท.บ.","10-227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"18","1004","ท.บ.","10-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"19","21736","ท.บ.","10-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"20","1380","ท.บ.","10-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"21","22028","ท.บ.","10-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"22","1321","ท.บ.","10-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"23","21940","ท.บ.","10-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"24","21737","ท.บ.","10-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"25","22029","ท.บ.","10-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"26","1005","ท.บ.","10-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"27","1382","ท.บ.","10-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"28","21799","ท.บ.","10-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"29","1253","ท.บ.","10-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"30","1006","ท.บ.","10-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"31","1383","ท.บ.","10-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"32","21738","ท.บ.","10-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"33","22030","ท.บ.","10-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"34","21800","ท.บ.","10-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"35","1254","ท.บ.","10-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"36","1391","ท.บ.","10-34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"37","22092","ท.บ.","10-34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"38","22035","ท.บ.","10-35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"39","1392","ท.บ.","10-35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"40","22093","ท.บ.","10-36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"41","1393","ท.บ.","10-36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"42","21941","ท.บ.","10-37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"43","1324","ท.บ.","10-37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"44","22036","ท.บ.","10-38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"45","1394","ท.บ.","10-38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"46","21942","ท.บ.","10-405","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"47","1325","ท.บ.","10-405","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"48","21720","ท.บ.","10-407","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"49","1007","ท.บ.","10-407","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"50","1008","ท.บ.","10-408","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"51","21739","ท.บ.","10-408","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"52","1255","ท.บ.","10-500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"53","1009","ท.บ.","10-500D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"54","21801","ท.บ.","10-500D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"55","21740","ท.บ.","10-500D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"56","2807","ท.บ.","1100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"57","20011","ท.บ.","1100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"58","2783","ท.บ.","1100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"59","1010","ท.บ.","11-07ก.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"60","21741","ท.บ.","11-07ก.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"61","141217185610757238","ท.บ.","11-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"62","141217185449140010","ท.บ.","11-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"63","141217185512502507","ท.บ.","11-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"64","141217185617530271","ท.บ.","11-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
"65","141201151606881220","ท.บ.","11-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Edit"
